id,full_name,gender,device_type,ad_position,browsing_history,time_of_day,click,cluster,age_imputed
9990,User9990,Male,Desktop,Side,Entertainment,Night,1,2,25.0
3746,User3746,Male,Desktop,Top,Entertainment,Morning,1,2,40.0
7993,User7993,Non-Binary,Mobile,Bottom,Social Media,Morning,1,4,42.0
5955,User5955,Female,Tablet,Top,Education,Evening,1,3,42.0
5100,User5100,Male,Mobile,Side,Shopping,Morning,1,4,42.0
6129,User6129,Female,Tablet,Bottom,Education,Evening,1,3,36.0
4625,User4625,Non-Binary,Mobile,Top,News,Morning,0,0,33.0
8459,User8459,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,0,38.0
3215,User3215,Male,Mobile,Side,Education,Afternoon,0,3,33.0
4151,User4151,Female,Desktop,Bottom,Entertainment,Evening,0,1,40.0
8176,User8176,Male,Desktop,Top,News,Afternoon,0,1,40.0
1908,User1908,Male,Mobile,Bottom,Education,Evening,1,3,26.0
2142,User2142,Non-Binary,Mobile,Side,Shopping,Afternoon,1,4,34.0
4212,User4212,Male,Mobile,Side,News,Morning,0,4,42.0
9137,User9137,Female,Desktop,Side,Social Media,Morning,0,4,35.0
8085,User8085,Non-Binary,Mobile,Top,Education,Evening,0,3,35.0
933,User933,Female,Tablet,Bottom,Entertainment,Night,0,0,41.0
4779,User4779,Female,Tablet,Top,Education,Afternoon,0,3,42.0
4925,User4925,Female,Desktop,Side,Entertainment,Evening,0,1,47.0
6167,User6167,Male,Mobile,Side,Shopping,Night,1,4,20.0
3818,User3818,Male,Desktop,Top,Shopping,Night,0,2,27.0
6919,User6919,Non-Binary,Desktop,Top,Social Media,Night,0,4,45.0
7779,User7779,Male,Desktop,Bottom,Entertainment,Morning,0,2,36.0
1612,User1612,Female,Mobile,Side,News,Evening,1,3,40.0
6441,User6441,Male,Desktop,Top,Entertainment,Night,1,2,40.0
7808,User7808,Female,Desktop,Top,Entertainment,Night,1,2,26.0
550,User550,Male,Desktop,Top,Entertainment,Morning,0,2,40.0
1612,User1612,Female,Mobile,Side,News,Evening,1,3,40.0
3644,User3644,Female,Mobile,Side,Entertainment,Evening,1,3,42.0
7422,User7422,Female,Desktop,Top,Entertainment,Evening,1,1,40.0
5732,User5732,Non-Binary,Desktop,Bottom,Entertainment,Evening,1,1,40.0
8222,User8222,Female,Tablet,Side,News,Afternoon,1,3,27.0
4450,User4450,Female,Mobile,Top,Education,Evening,0,3,45.0
3277,User3277,Male,Mobile,Side,News,Morning,0,4,42.0
8174,User8174,Female,Mobile,Bottom,Entertainment,Morning,1,0,20.0
1127,User1127,Female,Desktop,Bottom,Entertainment,Afternoon,1,1,40.0
3345,User3345,Male,Desktop,Bottom,Entertainment,Night,1,2,40.0
6553,User6553,Male,Desktop,Bottom,Education,Morning,1,2,40.0
453,User453,Female,Tablet,Top,Entertainment,Afternoon,1,3,42.0
4345,User4345,Female,Desktop,Bottom,Education,Afternoon,0,1,40.0
6268,User6268,Male,Desktop,Bottom,Entertainment,Night,1,2,40.0
329,User329,Male,Desktop,Top,Entertainment,Night,0,2,36.0
9266,User9266,Female,Mobile,Top,Education,Afternoon,1,3,38.0
6917,User6917,Non-Binary,Mobile,Bottom,Education,Afternoon,0,3,42.0
8561,User8561,Male,Mobile,Bottom,Education,Evening,1,3,52.0
9448,User9448,Non-Binary,Mobile,Side,Entertainment,Morning,0,0,40.0
7272,User7272,Female,Tablet,Top,News,Afternoon,0,3,42.0
234,User234,Male,Tablet,Bottom,Social Media,Morning,1,4,19.0
255,User255,Male,Desktop,Bottom,Entertainment,Night,1,2,40.0
2129,User2129,Male,Tablet,Bottom,Social Media,Evening,1,4,47.0
7678,User7678,Female,Desktop,Top,Social Media,Night,0,4,53.0
8515,User8515,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,40.0
2173,User2173,Male,Mobile,Bottom,Shopping,Night,1,4,42.0
5571,User5571,Female,Desktop,Side,Entertainment,Evening,0,1,40.0
9611,User9611,Male,Desktop,Side,Entertainment,Afternoon,1,1,40.0
5737,User5737,Male,Desktop,Top,Shopping,Night,0,2,29.0
7788,User7788,Non-Binary,Mobile,Side,Entertainment,Night,0,0,63.0
7471,User7471,Female,Mobile,Bottom,Entertainment,Morning,1,0,40.0
9811,User9811,Non-Binary,Mobile,Side,Entertainment,Morning,0,0,40.0
8115,User8115,Female,Mobile,Top,Social Media,Afternoon,1,4,20.0
217,User217,Non-Binary,Tablet,Bottom,Education,Morning,0,0,40.0
234,User234,Female,Mobile,Side,Social Media,Morning,1,4,42.0
6864,User6864,Male,Desktop,Side,Social Media,Evening,0,4,42.0
6462,User6462,Female,Tablet,Side,Education,Evening,1,3,36.0
1214,User1214,Female,Mobile,Bottom,News,Evening,1,3,26.0
3543,User3543,Male,Desktop,Top,Entertainment,Night,1,2,55.0
7214,User7214,Non-Binary,Mobile,Bottom,Education,Morning,0,0,62.0
3236,User3236,Female,Mobile,Bottom,Education,Morning,1,0,56.0
8957,User8957,Male,Desktop,Top,Entertainment,Morning,1,2,40.0
1214,User1214,Female,Mobile,Top,Education,Evening,1,3,26.0
6576,User6576,Female,Desktop,Bottom,Entertainment,Morning,1,2,62.0
6602,User6602,Female,Desktop,Bottom,Entertainment,Night,1,2,40.0
9400,User9400,Non-Binary,Mobile,Side,Education,Morning,1,0,40.0
5501,User5501,Non-Binary,Mobile,Bottom,Social Media,Evening,1,4,28.0
5084,User5084,Non-Binary,Tablet,Side,Entertainment,Morning,1,0,40.0
1020,User1020,Male,Desktop,Side,Entertainment,Morning,1,2,40.0
9618,User9618,Non-Binary,Desktop,Bottom,Education,Morning,0,2,40.0
4228,User4228,Male,Desktop,Side,Entertainment,Morning,1,2,40.0
7659,User7659,Non-Binary,Mobile,Top,News,Night,0,0,19.0
2003,User2003,Female,Desktop,Bottom,News,Afternoon,0,1,40.0
9736,User9736,Male,Desktop,Bottom,Education,Night,1,2,46.0
487,User487,Male,Mobile,Side,Education,Afternoon,1,3,28.0
4429,User4429,Male,Desktop,Top,Entertainment,Morning,1,2,40.0
998,User998,Female,Tablet,Top,Education,Evening,1,3,42.0
8226,User8226,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,0,40.0
9220,User9220,Female,Mobile,Side,Entertainment,Night,1,0,21.0
1420,User1420,Non-Binary,Desktop,Bottom,Entertainment,Morning,1,2,62.0
2485,User2485,Non-Binary,Mobile,Bottom,News,Morning,1,0,40.0
4841,User4841,Female,Desktop,Side,Education,Evening,0,1,21.0
8316,User8316,Male,Desktop,Bottom,Entertainment,Night,0,2,40.0
3601,User3601,Non-Binary,Mobile,Bottom,Entertainment,Morning,1,0,40.0
9290,User9290,Male,Desktop,Bottom,Entertainment,Night,1,2,61.0
5258,User5258,Non-Binary,Desktop,Side,Education,Night,0,2,50.0
9431,User9431,Male,Mobile,Top,Education,Afternoon,1,3,42.0
885,User885,Female,Tablet,Side,Education,Afternoon,0,3,49.0
7866,User7866,Male,Mobile,Side,Social Media,Morning,1,4,42.0
1110,User1110,Non-Binary,Mobile,Side,Entertainment,Morning,0,0,43.0
1539,User1539,Female,Mobile,Bottom,Education,Evening,1,3,43.0
2722,User2722,Female,Desktop,Top,Entertainment,Evening,1,1,39.0
5890,User5890,Female,Mobile,Bottom,News,Night,1,0,56.0
5062,User5062,Male,Tablet,Bottom,Entertainment,Night,0,0,40.0
6125,User6125,Female,Desktop,Bottom,Entertainment,Afternoon,0,1,18.0
2964,User2964,Non-Binary,Mobile,Side,Entertainment,Morning,1,0,40.0
6573,User6573,Non-Binary,Desktop,Side,Entertainment,Evening,1,1,55.0
2133,User2133,Male,Tablet,Side,Shopping,Morning,0,4,42.0
3014,User3014,Female,Mobile,Top,Education,Evening,1,3,42.0
6619,User6619,Male,Tablet,Bottom,Social Media,Evening,0,4,36.0
579,User579,Female,Tablet,Side,Entertainment,Evening,0,3,42.0
3938,User3938,Male,Mobile,Bottom,Entertainment,Morning,1,0,40.0
949,User949,Male,Desktop,Top,Social Media,Morning,0,4,42.0
6145,User6145,Female,Desktop,Side,Education,Evening,0,1,40.0
9075,User9075,Female,Mobile,Bottom,Entertainment,Morning,1,0,36.0
3658,User3658,Male,Mobile,Side,Shopping,Night,1,4,42.0
7993,User7993,Non-Binary,Mobile,Bottom,Social Media,Morning,1,4,42.0
6602,User6602,Male,Desktop,Side,Entertainment,Night,1,2,40.0
2760,User2760,Male,Desktop,Top,Entertainment,Morning,0,2,55.0
4616,User4616,Female,Desktop,Side,Entertainment,Evening,0,1,40.0
1503,User1503,Female,Tablet,Side,Education,Afternoon,1,3,19.0
9550,User9550,Female,Desktop,Top,Education,Afternoon,1,1,58.0
9227,User9227,Non-Binary,Desktop,Side,Entertainment,Night,1,2,40.0
5522,User5522,Male,Desktop,Bottom,Entertainment,Night,0,2,19.0
7438,User7438,Non-Binary,Desktop,Side,News,Morning,1,2,40.0
5733,User5733,Non-Binary,Mobile,Bottom,Entertainment,Morning,0,0,40.0
4957,User4957,Male,Mobile,Bottom,Social Media,Evening,1,4,58.0
6771,User6771,Male,Desktop,Side,Entertainment,Morning,1,2,40.0
8442,User8442,Female,Tablet,Bottom,News,Evening,0,3,54.0
393,User393,Male,Desktop,Bottom,Shopping,Morning,1,4,42.0
8252,User8252,Male,Desktop,Side,Entertainment,Night,1,2,40.0
8947,User8947,Male,Desktop,Bottom,Entertainment,Night,1,2,22.0
6423,User6423,Female,Tablet,Side,Shopping,Afternoon,0,3,42.0
670,User670,Female,Desktop,Bottom,Shopping,Afternoon,1,1,22.0
9245,User9245,Non-Binary,Tablet,Top,Education,Morning,0,0,40.0
3232,User3232,Non-Binary,Tablet,Bottom,Entertainment,Night,0,0,22.0
6479,User6479,Male,Tablet,Side,Education,Afternoon,1,3,42.0
8226,User8226,Male,Tablet,Top,Education,Evening,1,3,42.0
4254,User4254,Male,Desktop,Bottom,Entertainment,Afternoon,1,1,19.0
1099,User1099,Male,Tablet,Top,Shopping,Night,0,4,36.0
3641,User3641,Non-Binary,Tablet,Bottom,Entertainment,Night,1,0,40.0
3014,User3014,Female,Mobile,Top,Education,Afternoon,1,3,42.0
2964,User2964,Non-Binary,Mobile,Side,Entertainment,Night,1,0,40.0
9807,User9807,Non-Binary,Tablet,Bottom,Education,Night,1,0,35.0
9806,User9806,Male,Desktop,Bottom,Entertainment,Evening,1,1,58.0
6883,User6883,Male,Desktop,Side,News,Afternoon,0,1,32.0
1470,User1470,Male,Tablet,Top,Social Media,Evening,0,4,25.0
645,User645,Non-Binary,Tablet,Side,Entertainment,Morning,0,0,40.0
4015,User4015,Male,Desktop,Side,Entertainment,Night,1,2,40.0
8208,User8208,Female,Tablet,Top,Education,Evening,1,3,42.0
5425,User5425,Female,Mobile,Side,Entertainment,Afternoon,1,3,42.0
4874,User4874,Male,Mobile,Side,News,Morning,0,4,42.0
1914,User1914,Male,Mobile,Bottom,Shopping,Morning,1,4,42.0
4950,User4950,Male,Mobile,Bottom,Entertainment,Morning,1,0,28.0
24,User24,Female,Tablet,Side,Education,Evening,1,3,42.0
7450,User7450,Male,Desktop,Side,News,Night,1,2,40.0
2019,User2019,Non-Binary,Tablet,Top,Entertainment,Night,0,0,42.0
1446,User1446,Male,Desktop,Bottom,News,Night,1,2,40.0
